Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Species_Classification,UID,EncounterNumber,KnownSpecies
0.0008,0.0014,0.8030340158087526,0.0,0.001,0.0116,0.18216598419124735,S_bredanensis,3600,PMC_9_A19,T_truncatus
0.05740648689581039,0.4030691912484592,0.0036839827771370957,0.13841189516431066,0.054196694703705584,0.11484125773436908,0.2283904914762081,S_attenuata,3601,PMC_9_A19,T_truncatus
0.08793756930543845,0.2105458829352136,0.013811391191642841,0.039629759813112966,0.029706122086456267,0.05554763588753331,0.5628216387806027,T_truncatus,3602,PMC_9_A19,T_truncatus
0.11581200795402755,0.2803222279057203,0.043743503759755095,0.031207916884632914,0.3098279336937869,0.07297907125004528,0.14610733855203206,S_frontalis,3603,PMC_9_A19,T_truncatus
0.13233454021738567,0.1799468692119091,0.003537303044600224,0.23170456434900966,0.04669621953222185,0.19179790032476562,0.2139826033201079,T_truncatus,3604,PMC_9_A19,T_truncatus
0.061783914551910124,0.15018867271916622,0.008011787849451233,0.10532239531601055,0.02002042015819185,0.12894354177933048,0.5257292676259395,T_truncatus,3605,PMC_9_A19,T_truncatus
0.0851522493831484,0.31316142194662977,0.0031719809242732938,0.1639781640013012,0.1243279311926061,0.20553348735031615,0.10467476520172503,S_attenuata,3606,PMC_9_A98,T_truncatus
0.3182588778865486,0.09187470577631383,0.028401112722470367,0.024907142871608896,0.06699537982210688,0.32074598744538096,0.1488167934755705,S_longirostris,3607,PMC_9_A98,T_truncatus
0.09730566447941734,0.17945634915296987,0.022047974789915967,0.18310662565469768,0.04480665275440647,0.3050101458060947,0.16826658736249794,S_attenuata,3608,PMC_9_A98,T_truncatus
0.22831113005963352,0.23496044784455794,0.0395990297939847,0.10603434763984657,0.2687442638068612,0.03938470190779664,0.08296607894731949,S_frontalis,3609,PMC_9_A98,T_truncatus
0.05918189041346215,0.1257004995523225,0.011599730733429328,0.2405527398746851,0.1292216234927685,0.2520887974491951,0.18165471848413742,S_clymene,3610,PMC_9_A98,T_truncatus
0.3533158471641106,0.15956169268759496,0.09231458894825346,0.014231571647856225,0.17258941507037348,0.09768347644940051,0.11030340803241086,S_frontalis,3611,PMC_9_A98,T_truncatus
0.11106024918226351,0.17195051452039986,0.014798172125024118,0.24646399942277591,0.05417706636599031,0.14878046704858952,0.2527695313349568,S_clymene,3612,PMC_9_A98,T_truncatus
0.17612202320528383,0.078355896765596,0.037748771597497524,0.05477893792955838,0.19030386596189283,0.227488113672167,0.2352023908680044,S_frontalis,3613,PMC_9_A98,T_truncatus
0.09080913581472769,0.10667723300477412,0.04031573585409014,0.11002185728921274,0.46355435703347647,0.025506726256569263,0.16311495474714965,S_frontalis,3614,PMC_9_A98,T_truncatus
0.1064711453206574,0.07495280854900772,0.025876461990810944,0.01169342238283175,0.41337635265111816,0.13046466900077483,0.23716514010479922,S_frontalis,3615,PMC_9_A98,T_truncatus
0.2664945787730497,0.06310344350663011,0.04861573294926026,0.014399145945211897,0.2608001194556689,0.21109752475014504,0.13548945462003417,Delphinus,3616,PMC_9_A98,T_truncatus
0.032846431104005064,0.12595761510765255,0.0015193657976010917,0.5364826793678603,0.11362303281240946,0.08608877591637795,0.10348209989409374,S_clymene,3617,PMC_9_A98,T_truncatus
0.30452249902681067,0.08298282325836659,0.04204635683959404,0.1806256338368583,0.03897014674202609,0.2099637496050329,0.14088879069131147,S_longirostris,3618,PMC_9_A98,T_truncatus
0.03837215492207469,0.35969057197307674,0.014838882944961062,0.11879985320795841,0.272118573023473,0.044560435352439136,0.15161952857601696,S_frontalis,3619,PMC_9_A98,T_truncatus
0.11955076604400613,0.04234233594313217,0.3932076062252241,0.07630226242401653,0.1871518139867766,0.06532622260461078,0.11611899277223366,S_bredanensis,3620,PMC_9_A98,T_truncatus
0.08734494450080497,0.17146155067070787,0.0889502219210643,0.0030837803772368754,0.1418073105275842,0.14541175459218156,0.36194043741042026,T_truncatus,3621,PMC_9_A98,T_truncatus
0.03942505928150083,0.36724406857239994,0.003172752777546211,0.24185153335292825,0.09992643802733145,0.1088054423513238,0.13957470563696953,S_attenuata,3622,PMC_9_A98,T_truncatus
0.036439121149492874,0.3088151779132233,0.007056638655462184,0.17353867977808313,0.12709300222203437,0.15295225277347996,0.19410512750822423,S_attenuata,3623,PMC_9_A98,T_truncatus
0.05999933676457693,0.1048102503817191,0.004525997807198613,0.3699895864045058,0.02279792882793457,0.20498466374202073,0.23289223607204423,S_clymene,3624,PMC_9_A98,T_truncatus
0.5525866079390779,0.03479827417890344,0.011829215047375583,0.0805895861532638,0.08779088373244057,0.16685154833192706,0.06555388461701166,Delphinus,3625,PMC_9_A98,T_truncatus
0.06216343066641085,0.16609703245937898,0.07466254795742015,0.061939749451860635,0.4489638911797419,0.026915580401850416,0.15925776788333704,S_frontalis,3626,PMC_9_A98,T_truncatus
0.2646857550593247,0.0884571855933343,0.051935558554843955,0.06798893249302547,0.2083745317480755,0.2013165574428118,0.11724147910858433,S_frontalis,3627,PMC_9_A98,T_truncatus
0.06204560113615058,0.2276654275466498,0.0030708813181310286,0.16052201529070328,0.022566688470443647,0.3166780857492359,0.2074513004886857,S_longirostris,3628,PMC_9_A98,T_truncatus
0.03295624952839794,0.07608284323686368,0.0030023709623709623,0.4577887575666157,0.025710578230685132,0.288665138508711,0.11579406196635553,S_clymene,3629,PMC_9_A98,T_truncatus
0.11420697776712345,0.13887582966634918,0.023547456573365242,0.18891177446671445,0.24346791575161184,0.051859285155261205,0.23913076061957467,T_truncatus,3630,PMC_9_A98,T_truncatus
0.03770094711847351,0.3414026209994321,0.021157360659429473,0.23013981195107064,0.06874888352744082,0.09245162859280467,0.20839874715134873,S_attenuata,3631,PMC_9_A98,T_truncatus
0.24479063947091872,0.11292313941723238,0.08358017815882583,0.07917631840163174,0.2849108751773829,0.10662544442786522,0.08799340494614327,Delphinus,3632,PMC_9_A98,T_truncatus
