Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Species_Classification,UID,KnownSpecies,EncounterNumber
0.33027648285511674,0.11769846127151401,0.01312943722943723,0.01717090909090909,0.3764956807683933,0.0380699274412099,0.10715910134341987,S_frontalis,46,Delphinus,PMC_12_A33
0.3843333333333333,0.010166666666666666,0.462,0.002333333333333333,0.053,0.006166666666666667,0.082,S_bredanensis,47,Delphinus,PMC_12_A33
0.15027564102564103,0.213,0.015,0.18075,0.259974358974359,0.037,0.144,S_frontalis,48,Delphinus,PMC_12_A33
0.32072522181175206,0.08973333333333332,0.054,0.12540568974771873,0.14593350383631712,0.053660493827160496,0.21054175744371825,Delphinus,49,Delphinus,PMC_12_A33
0.6166820615501966,0.03176990553306343,0.018026315789473685,0.036120401337792644,0.14435416666666667,0.044359649122807016,0.1086875,Delphinus,50,Delphinus,PMC_12_A33
0.5508874167006663,0.13821052631578948,0.09411929824561403,0.021719298245614034,0.14382967836257307,0.01159123827009384,0.039642543859649125,Delphinus,51,Delphinus,PMC_12_A33
0.2823323772810385,0.08820767658095245,0.08549303760755374,0.10131896551724139,0.2366958913628864,0.027226229785053315,0.17872582186527422,Delphinus,52,Delphinus,PMC_12_A33
0.6147988095238095,0.06532083333333333,0.041,0.03808333333333333,0.1245345238095238,0.0280625,0.0882,Delphinus,53,Delphinus,PMC_12_A33
0.20171169517233525,0.09146214271610402,0.023243061364123737,0.0020352613671512526,0.4651093868557202,0.03400858008060155,0.18242987244396391,S_frontalis,54,Delphinus,PMC_12_A33
0.6245640816055289,0.15711961722488038,0.05018179824561404,0.014177631578947369,0.10254495614035088,0.018644371345029238,0.032767543859649126,Delphinus,55,Delphinus,PMC_12_A33
0.17155566286078472,0.04523458110516934,0.04429832170156199,0.00901923076923077,0.5002803261065595,0.16806095833904655,0.06155091911764706,S_frontalis,56,Delphinus,PMC_12_A46
0.6744966860668551,0.02295200636178387,0.023051197198751896,0.05488615288084451,0.01502413714329888,0.18913104219954852,0.02045877814891718,Delphinus,57,Delphinus,PMC_12_A47
0.4760125808005037,0.08351891885176595,0.04104810056894604,0.015154480822134683,0.08276692207799788,0.27688117979928073,0.024617817079370975,Delphinus,58,Delphinus,PMC_12_A47
0.1953625498623682,0.15651015528485887,0.03599598781056193,0.07147957047596924,0.2765000833271324,0.10897035810099433,0.15518129513811513,S_frontalis,59,Delphinus,PMC_12_A47
0.48057262905908277,0.08676540021668111,0.05989276573345018,0.0885560596354782,0.0757573319364207,0.13110703042380886,0.07734878299507832,Delphinus,60,Delphinus,PMC_12_A47
