Source,EncounterNumber,EncounterID,CruiseID,KnownSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,UID
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_22_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,18281.25,7968.75,0.741,11156.25,16218.75,10312.5,12147.99107,2989.232895,11531.25,13125,0.785714286,2.294117647,0.687861272,9562.5,18187.5,10500,4382.8125,2.49375,0,0,0,7060.958376,37141.89363,36142.33193,-49776.78571,-0.726088103,2,0,0,2,2,0,61.29032258,32.90322581,5.806451613,4,0.267,0.176,1.517045455,0.213333333,0.047648015,0.197,5.398110661,0,1132
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_23_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,21375,10125,0.485,12562.5,10687.5,11250,14596.46739,3293.977645,13546.875,15750,0.714285714,2.111111111,1.175438596,12937.5,15937.5,20062.5,4476.5625,2.1,0,0,0,-3990.875196,46558.57535,37246.73764,-82142.85714,-0.453438545,1,1,1,2,1,2,61.8556701,34.02061856,4.12371134,4,0.293,0.011,26.63636364,0.145333333,0.141472023,0.132,8.24742268,0,1133
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_24_H.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,19031.25,8250,0.677,8250,19031.25,10781.25,12991.69922,2819.371757,12515.625,13640.625,0.790378007,2.306818182,0.433497537,12656.25,10593.75,12937.5,4523.4375,2.428125,0,0,0,16083.73172,37097.51125,34111.2013,-74131.94444,-0.460141732,1,0,1,1,1,1,78.67647059,17.64705882,3.676470588,3,0.309,0.122,2.532786885,0.2155,0.132228968,0.2155,4.431314623,0,1134
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_29_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,16781.25,7687.5,0.976,14531.25,16781.25,9093.75,11014.09647,2632.727493,10828.125,12234.375,0.743295019,2.182926829,0.865921788,8531.25,8250,12375,4710.9375,1.5375,0,0,0,2369.974629,16467.84738,20042.56645,-23888.06217,-0.839020189,1,0,6,2,7,1,55.85585586,35.13513514,9.009009009,2,0.608,0.608,1,0.608,0,0.608,2.049180328,0,1135
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_30_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,16406.25,5250,1.382,5250,10406.25,11156.25,9857.091346,2552.162744,9468.75,10828.125,1.03030303,3.125,0.504504505,8812.5,11156.25,10406.25,3187.5,3.28125,0,1,1,3983.383894,24060.60397,27102.21215,-61904.7619,-0.437804966,1,1,7,3,7,4,62.35294118,25.58823529,12.05882353,7,0.304,0.038,8,0.131666667,0.095493804,0.112,5.06512301,0.723589001,1136
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_38_H.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,16406.25,9656.25,0.64,9656.25,16406.25,6750,11741.21901,1511.093005,11437.5,13031.25,0.517985612,1.699029126,0.588571429,10593.75,11437.5,12000,1875,1.33125,0,0,0,10625,21197.91667,38187.5,-33388.15789,-1.143743842,1,0,6,1,6,1,53.51351351,28.64864865,17.83783784,3,0.134,0.101,1.326732673,0.1175,0.023334524,0.1175,4.6875,0,1137
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_39_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,20062.5,10875,0.33,13218.75,20062.5,9187.5,14148.80952,2964.8888,13312.5,15468.75,0.593939394,1.844827586,0.658878505,11062.5,13312.5,16218.75,4875,0.928125,0,0,0,21108.15092,35120.2477,35573.06851,-62053.57143,-0.573263838,1,0,0,1,1,0,76.05633803,16.90140845,7.042253521,2,0.261,0.261,1,0.261,0,0.261,6.060606061,0,1138
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_45_H.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,18000,5531.25,0.891,6187.5,17812.5,12468.75,11152.90179,3316.355082,10125,11765.625,1.059760956,3.254237288,0.347368421,9562.5,16687.5,9656.25,3585.9375,2.79375,1,0,1,13060.04063,33470.11334,48565.84821,-33416.4916,-1.453349705,2,0,5,5,7,3,53.65853659,36.58536585,9.756097561,4,0.347,0.176,1.971590909,0.284333333,0.09420368,0.33,4.489337823,1.122334456,1139
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_51_H.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,12937.5,6562.5,0.64,6843.75,6562.5,6375,9140.237603,2234.062171,8625,9750,0.653846154,1.971428571,1.042857143,7218.75,11625,9843.75,3281.25,1.265625,1,0,1,-379.4642857,20431.54762,33420.13889,-35676.02041,-0.936767568,0,0,6,2,6,2,43.85026738,37.96791444,18.18181818,2,0.395,0.395,1,0.395,0,0.395,3.125,1.5625,1140
C:\Users\alebi\Documents\Stenella_frontalis_2023\TESTING_SWA_1\ROCCA_S_frontalis_TESTING_SWA_1\Sf_PMC_11_A2\Sf_PMC_11_A2_175000_Whistle_52_M.wav,PMC_11_A2,PMC,PMC_11,S_frontalis,16312.5,4312.5,1.045,4312.5,9562.5,12000,11064.87944,2629.462256,10687.5,10312.5,1.163636364,3.782608696,0.450980392,11062.5,15843.75,10406.25,1781.25,2.7375,3,0,3,5158.983236,26744.71574,66522.60638,-31573.16098,-2.106935268,0,0,3,3,3,4,36.39143731,43.42507645,20.18348624,5,0.416,0.048,8.666666667,0.2,0.156639714,0.168,4.784688995,2.870813397,1141
