Delphinus_LOGO_EVENT,S_attenuata_LOGO_EVENT,S_bredanensis_LOGO_EVENT,S_clymene_LOGO_EVENT,S_frontalis_LOGO_EVENT,S_longirostris_LOGO_EVENT,T_truncatus_LOGO_EVENT,Species_Classification,UID,EncounterNumber,KnownSpecies
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_attenuata,4194,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_attenuata,4195,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_attenuata,4196,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_clymene,4197,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_clymene,4198,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,T_truncatus,4199,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_clymene,4200,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_clymene,4201,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_clymene,4202,PMC_10C_A43,S_longirostris
0.10367622614445535,0.1567070298321852,0.018551361669573017,0.22259274563272766,0.0842649542331651,0.24627121835904078,0.167936464128853,S_clymene,4203,PMC_10C_A43,S_longirostris
